task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cs,element_rmse_Cs,element_mae_I,element_rmse_I,element_mae_Pb,element_rmse_Pb,mode,run_id
temperature,temperature_ood_0900K,small,20,600,0,100,32000,0.028810000902879985,0.05330297058088103,5.718758799844181e-15,4.986361324191093,0.015582379138097168,0.028545777611201632,0.037288275172380814,0.023403538310298854,0.05556688220559581,0.04529361197230173,0.05960354607108936,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed0
temperature,temperature_ood_1200K,small,20,600,0,100,32000,0.054184729673054245,0.13914797055844638,6.477041125663164e-15,8.284344351440668,0.025888576098252087,0.04202243130705028,0.05936372464721992,0.04894079264953082,0.16502359726437135,0.08207883910962846,0.10764930927070587,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed0
temperature,temperature_ood_0600K,small,20,600,1,100,32000,0.013303997606987831,0.02261067199246673,6.0740301677242315e-15,0.8009389279782773,0.0025029341499321163,0.016597768333143904,0.02118307361799047,0.010318554334386136,0.018171298289359154,0.01896655669863685,0.03342007760743222,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_0900K,small,20,600,1,100,32000,0.02276549737005844,0.05067299428590541,5.38680211548126e-15,1.7092897734045982,0.00534153054188937,0.01945134520571446,0.02531000556651746,0.01903273018298205,0.05166520369913704,0.037277951095631576,0.06473241497039865,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_1200K,small,20,600,1,100,32000,0.04453660155992111,0.12537563306544194,5.892508703198019e-15,1.405986511334777,0.004393707847921179,0.02636281569905259,0.036993838830221025,0.03851732564420429,0.1293432722805157,0.08076821516794006,0.16443131231219454,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_0600K,small,20,600,2,100,32000,0.017933677930373235,0.025828921247435997,4.46975789714088e-15,1.0258974784612653,0.0032059296201914548,0.025211896020395214,0.03223742798643141,0.01346114456632252,0.018538467484168847,0.024073059932503384,0.03557231747955348,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_0900K,small,20,600,2,100,32000,0.027099201526434625,0.04247357318633346,6.031286581276163e-15,3.656300268769264,0.011425938339903949,0.02930108932571602,0.037667178202130995,0.020471388334486015,0.031764943948512245,0.04478075330299907,0.06763261631939621,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_1200K,small,20,600,2,100,32000,0.05005472259232629,0.09811379689251666,6.4165339708210924e-15,4.243829019293189,0.013261965685291215,0.037643502222264945,0.05139340309104946,0.039209940606369245,0.07246953038307595,0.09500028892025875,0.17243783030478047,baseline,temperature__temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_0600K,small,40,300,0,100,32000,0.016053482192062075,0.024807825122946017,6.414868636284155e-15,1.2330556046962737,0.003853298764675856,0.021362083332060137,0.027714615103515465,0.011470603292526598,0.020681726917324006,0.02449351775067044,0.032028730250652414,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed0
temperature,temperature_ood_0900K,small,40,300,0,100,32000,0.02817133080998319,0.05758876982005381,5.785372181321691e-15,4.928212992250919,0.015400665600784123,0.028657849322597028,0.037796025427156515,0.022963541356497443,0.06310328201635902,0.0433081806578266,0.05663673635668834,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed0
