task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0600K,small,80,300,2,320,69120,0.010931952927551912,0.016895432130820263,9.317199789471431e-15,0.7928513104096055,0.0036706079185629885,0.012632568353922482,0.018794114311202193,0.009231337501181337,0.014754406834290983,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed2
temperature,temperature_ood_0650K,small,80,300,2,320,69120,0.013406737463107072,0.02051312396855671,8.371602022716473e-15,1.0045045158825814,0.004650483869826766,0.015060706571789217,0.022257101968272807,0.011752768354424927,0.01860639465002982,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed2
temperature,temperature_ood_0700K,small,80,300,2,320,69120,0.016405893092869096,0.025343254416475957,8.499971559938756e-15,1.2078447053267154,0.005591873635771831,0.018011265642965568,0.02722238189133757,0.014800520542772618,0.023313151073988955,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed2
temperature,temperature_ood_0600K,small,80,600,0,320,69120,0.006193312069551096,0.010253477723858618,9.21103471274165e-15,0.11034618504345417,0.0005108619677937694,0.006747664473492548,0.01101379187426179,0.005638959665609644,0.009432072912026008,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed0
temperature,temperature_ood_0650K,small,80,600,0,320,69120,0.00762220853625858,0.012863176476848912,8.86027362589914e-15,0.13997413273900747,0.0006480283923102198,0.008139585822046795,0.01348843886941583,0.007104831250470364,0.012205926225205143,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed0
temperature,temperature_ood_0700K,small,80,600,0,320,69120,0.009387145114623284,0.016346333528740403,8.857151123642382e-15,0.1829261570237577,0.0008468803565914708,0.009859908961745895,0.01694873511219526,0.008914381267500668,0.015720865681071294,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed0
temperature,temperature_ood_0600K,small,80,600,1,320,69120,0.003931906135347659,0.006907980449221861,9.342179807525496e-15,0.07633434887975454,0.000353399763332197,0.004435902855864283,0.008124756030359793,0.003427909414831036,0.005424825086654417,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed1
temperature,temperature_ood_0650K,small,80,600,1,320,69120,0.004768705580863253,0.008509329335948158,9.393180677719215e-15,0.09313564402982592,0.00043118353717512,0.005367686451642374,0.009952018855008904,0.0041697247100841335,0.0067656996833145855,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed1
temperature,temperature_ood_0700K,small,80,600,1,320,69120,0.005767060943115222,0.010400833374013508,8.800946083020732e-15,0.12066298127174377,0.0005586249132951102,0.006476246271340243,0.012094876905414149,0.0050578756148902,0.008370700233007148,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed1
temperature,temperature_ood_0600K,small,80,600,2,320,69120,0.004389582539147496,0.007673596388691285,9.081971286128975e-15,0.1334968239068985,0.0006180408514208264,0.004453357923181858,0.0078288265140726,0.004325807155113136,0.007515160576170396,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed2
temperature,temperature_ood_0650K,small,80,600,2,320,69120,0.005398108668607628,0.009746697070797809,9.430303760105118e-15,0.15407259492203593,0.0007132990505649812,0.005413282151121279,0.009553840860330174,0.00538293518609398,0.00993581060584806,baseline,temperature_low_train__baseline__small__n080_te0600_r1_seed2
