material,task,condition,role,structure_index,distance,retained_pcs_95pct
NaCl,deformation,lambda=0.75,high,23,9.122586727501494,14
NaCl,deformation,lambda=0.75,high,24,7.833895318551471,14
NaCl,deformation,lambda=0.75,high,25,7.062273447416111,14
NaCl,deformation,lambda=0.75,high,26,8.084257137104519,14
NaCl,deformation,lambda=0.75,high,27,7.853007455392872,14
NaCl,deformation,lambda=0.75,high,28,7.659251384749542,14
NaCl,deformation,lambda=0.75,high,29,7.770067082037533,14
NaCl,deformation,lambda=0.75,high,30,8.152833468546307,14
NaCl,deformation,lambda=0.75,high,31,8.466020784395708,14
NaCl,deformation,lambda=0.75,high,32,9.180770655153227,14
NaCl,deformation,lambda=0.75,high,33,9.672478790147464,14
NaCl,deformation,lambda=0.75,high,34,8.206292527136565,14
NaCl,deformation,lambda=0.75,high,35,7.297332096794345,14
NaCl,deformation,lambda=0.75,high,36,8.290529165788572,14
NaCl,deformation,lambda=0.75,high,37,8.461885481449192,14
NaCl,deformation,lambda=0.75,high,38,7.564938356685788,14
NaCl,deformation,lambda=0.75,high,39,7.167397022525785,14
NaCl,deformation,lambda=0.75,high,40,7.591655430871536,14
NaCl,deformation,lambda=0.75,high,41,7.598644150588876,14
NaCl,deformation,lambda=0.75,high,42,8.288683769262205,14
NaCl,deformation,lambda=0.75,high,43,7.62676367784309,14
NaCl,deformation,lambda=0.75,high,44,8.14256636322541,14
NaCl,deformation,lambda=0.75,high,45,8.846473674749497,14
NaCl,deformation,lambda=0.75,high,46,7.6870955445084155,14
NaCl,deformation,lambda=0.75,high,47,7.82432380970135,14
NaCl,deformation,lambda=0.75,high,48,7.2366575196333995,14
NaCl,deformation,lambda=0.75,high,49,8.407647199098164,14
NaCl,deformation,lambda=0.75,high,50,8.099361050699125,14
NaCl,deformation,lambda=0.75,high,51,7.7531830158253845,14
NaCl,deformation,lambda=0.75,high,52,8.73987368369224,14
NaCl,deformation,lambda=0.75,high,53,9.238622193589121,14
NaCl,deformation,lambda=0.75,high,54,8.86906018544304,14
NaCl,deformation,lambda=0.75,high,55,9.494969760841979,14
NaCl,deformation,lambda=0.75,high,56,8.325854973807747,14
NaCl,deformation,lambda=0.75,high,57,8.330976080872171,14
NaCl,deformation,lambda=0.75,high,58,9.163177471632354,14
NaCl,deformation,lambda=0.75,high,59,8.219191268625897,14
NaCl,deformation,lambda=0.75,high,60,7.594547084797135,14
NaCl,deformation,lambda=0.75,high,61,7.734692627826538,14
NaCl,deformation,lambda=0.75,high,62,8.30419484763539,14
NaCl,deformation,lambda=0.75,high,63,7.4105877977787475,14
NaCl,deformation,lambda=0.75,high,64,8.332915537134095,14
NaCl,deformation,lambda=0.75,high,65,9.045841896022065,14
NaCl,deformation,lambda=0.75,high,66,7.645201417883042,14
NaCl,deformation,lambda=0.75,high,67,6.947784934082323,14
NaCl,deformation,lambda=0.75,high,68,7.3361982285067135,14
NaCl,deformation,lambda=0.75,high,69,8.052220299792314,14
NaCl,deformation,lambda=0.75,high,70,9.66027057700944,14
NaCl,deformation,lambda=0.75,high,71,8.188279070599362,14
NaCl,deformation,lambda=0.75,high,72,8.791533727060992,14
NaCl,deformation,lambda=0.75,high,73,7.976732791165817,14
NaCl,deformation,lambda=0.75,high,74,8.835410002966272,14
NaCl,deformation,lambda=0.75,high,75,9.391325023737929,14
NaCl,deformation,lambda=0.75,high,76,7.380924420360686,14
NaCl,deformation,lambda=0.75,high,77,8.091328598616341,14
NaCl,deformation,lambda=0.75,high,78,8.457743283666188,14
NaCl,deformation,lambda=0.75,high,79,7.55452283199471,14
NaCl,deformation,lambda=1.00,high,0,12.387724409952346,14
NaCl,deformation,lambda=1.00,high,1,11.41142918705536,14
NaCl,deformation,lambda=1.00,high,2,12.740721338756533,14
NaCl,deformation,lambda=1.00,high,3,13.167875241443685,14
NaCl,deformation,lambda=1.00,high,4,11.534422612710252,14
NaCl,deformation,lambda=1.00,high,5,12.577816484192637,14
NaCl,deformation,lambda=1.00,high,6,11.979505852768808,14
NaCl,deformation,lambda=1.00,high,7,11.502798452135165,14
NaCl,deformation,lambda=1.00,high,8,13.113599403184,14
NaCl,deformation,lambda=1.00,high,9,12.392600745419195,14
NaCl,deformation,lambda=1.00,high,10,11.457969184297951,14
NaCl,deformation,lambda=1.00,high,11,13.569729923266157,14
NaCl,deformation,lambda=1.00,high,12,13.323317657907674,14
NaCl,deformation,lambda=1.00,high,13,11.71687886378637,14
NaCl,deformation,lambda=1.00,high,14,12.002044768895061,14
NaCl,deformation,lambda=1.00,high,15,12.983668525130442,14
NaCl,deformation,lambda=1.00,high,16,12.510687529855861,14
NaCl,deformation,lambda=1.00,high,17,11.92779102756459,14
NaCl,deformation,lambda=1.00,high,18,13.619957030291818,14
NaCl,deformation,lambda=1.00,high,19,12.1754899847652,14
NaCl,deformation,lambda=1.00,high,20,12.755610747052575,14
NaCl,deformation,lambda=1.00,high,21,12.095584264808641,14
NaCl,deformation,lambda=1.00,high,22,13.07083143632331,14
NaCl,deformation,lambda=1.00,high,23,14.991433904988105,14
NaCl,deformation,lambda=1.00,high,24,12.271455514372914,14
NaCl,deformation,lambda=1.00,high,25,13.437530746438076,14
NaCl,deformation,lambda=1.00,high,26,11.71419933675727,14
NaCl,deformation,lambda=1.00,high,27,12.443640588391505,14
NaCl,deformation,lambda=1.00,high,28,12.13720015064928,14
NaCl,deformation,lambda=1.00,high,29,13.682337547737985,14
NaCl,deformation,lambda=1.00,high,30,12.854013969717801,14
NaCl,deformation,lambda=1.00,high,31,14.1376992017279,14
NaCl,deformation,lambda=1.00,high,32,15.267291970382209,14
NaCl,deformation,lambda=1.00,high,33,12.297863358134386,14
NaCl,deformation,lambda=1.00,high,34,14.626750865098927,14
NaCl,deformation,lambda=1.00,high,35,15.879635573870802,14
NaCl,deformation,lambda=1.00,high,36,12.268773724458486,14
NaCl,deformation,lambda=1.00,high,37,11.99069127799956,14
NaCl,deformation,lambda=1.00,high,38,13.044917677957589,14
NaCl,deformation,lambda=1.00,high,39,13.263042323546328,14
NaCl,deformation,lambda=1.00,high,40,13.003551526838384,14
NaCl,deformation,lambda=1.00,high,41,12.974220987682168,14
NaCl,deformation,lambda=1.00,high,42,11.570199790680388,14
NaCl,deformation,lambda=1.00,high,43,12.37954794010983,14
NaCl,deformation,lambda=1.00,high,44,12.356150081126762,14
NaCl,deformation,lambda=1.00,high,45,12.807251654554916,14
NaCl,deformation,lambda=1.00,high,46,11.61049835166419,14
NaCl,deformation,lambda=1.00,high,47,13.162282453816275,14
NaCl,deformation,lambda=1.00,high,48,12.223022500913565,14
NaCl,deformation,lambda=1.00,high,49,12.284686688027428,14
NaCl,deformation,lambda=1.00,high,50,14.042475271465563,14
NaCl,deformation,lambda=1.00,high,51,11.579696990224264,14
NaCl,deformation,lambda=1.00,high,52,11.079693807567734,14
NaCl,deformation,lambda=1.00,high,53,13.943653860194194,14
NaCl,deformation,lambda=1.00,high,54,11.75050519001664,14
NaCl,deformation,lambda=1.00,high,55,12.833496595045531,14
NaCl,deformation,lambda=1.00,high,56,13.024768835016777,14
NaCl,deformation,lambda=1.00,high,57,12.225070778330432,14
NaCl,deformation,lambda=1.00,high,58,13.052664740929599,14
NaCl,deformation,lambda=1.00,high,59,12.288278666977337,14
NaCl,deformation,lambda=1.00,high,60,15.486406868784753,14
NaCl,deformation,lambda=1.00,high,61,13.997549245681792,14
NaCl,deformation,lambda=1.00,high,62,11.762991662297646,14
NaCl,deformation,lambda=1.00,high,63,13.26270974623677,14
NaCl,deformation,lambda=1.00,high,64,12.454747978587266,14
NaCl,deformation,lambda=1.00,high,65,13.686416102123868,14
NaCl,deformation,lambda=1.00,high,66,17.803338167990333,14
NaCl,deformation,lambda=1.00,high,67,11.830711818024145,14
NaCl,deformation,lambda=1.00,high,68,13.932594761891146,14
NaCl,deformation,lambda=1.00,high,69,11.98132111208534,14
NaCl,deformation,lambda=1.00,high,70,12.82807342084934,14
NaCl,deformation,lambda=1.00,high,71,12.346369119909427,14
NaCl,deformation,lambda=1.00,high,72,11.758478407588381,14
NaCl,deformation,lambda=1.00,high,73,12.308813141558028,14
NaCl,deformation,lambda=1.00,high,74,12.619595756204735,14
NaCl,deformation,lambda=1.00,high,75,11.936411302635438,14
NaCl,deformation,lambda=1.00,high,76,13.55912574322417,14
NaCl,deformation,lambda=1.00,high,77,31.736115580026883,14
NaCl,deformation,lambda=1.00,high,78,34.03163510986943,14
NaCl,deformation,lambda=1.00,high,79,17.942866857422263,14
NaCl,temperature,300 K,low,0,2.5316582672079466,9
NaCl,temperature,300 K,low,1,2.608375066829526,9
NaCl,temperature,300 K,low,2,2.7907929443891653,9
NaCl,temperature,300 K,low,3,2.165315949487024,9
NaCl,temperature,300 K,low,4,3.4553639105094995,9
NaCl,temperature,300 K,low,5,2.7454852091675,9
NaCl,temperature,300 K,low,6,2.470976530788122,9
NaCl,temperature,300 K,low,7,2.9764194020419437,9
NaCl,temperature,300 K,low,8,3.075387899090791,9
NaCl,temperature,300 K,low,9,2.6743467884178074,9
NaCl,temperature,300 K,low,10,1.6479880413855357,9
NaCl,temperature,300 K,low,11,2.188322890537426,9
NaCl,temperature,300 K,low,12,2.4753568692802004,9
NaCl,temperature,300 K,low,13,1.801489662799298,9
NaCl,temperature,300 K,low,14,2.3472905184992956,9
NaCl,temperature,300 K,low,15,2.3205892954694884,9
NaCl,temperature,300 K,low,16,2.174109599761542,9
NaCl,temperature,300 K,low,17,2.171988780488574,9
NaCl,temperature,300 K,low,18,2.0954070967967913,9
NaCl,temperature,300 K,low,19,1.436548413234543,9
NaCl,temperature,300 K,low,20,2.723334630484142,9
NaCl,temperature,300 K,low,21,2.337810317729174,9
NaCl,temperature,300 K,low,22,1.5651031998917908,9
NaCl,temperature,300 K,low,23,2.63247387952375,9
NaCl,temperature,300 K,low,24,1.8469928831207834,9
NaCl,temperature,300 K,low,25,2.3483362481681316,9
NaCl,temperature,300 K,low,26,2.1097042921851696,9
NaCl,temperature,300 K,low,27,2.8148921660005533,9
NaCl,temperature,300 K,low,28,2.224399317867091,9
NaCl,temperature,300 K,low,29,1.7039269321426116,9
NaCl,temperature,300 K,low,30,1.9315867627265215,9
NaCl,temperature,300 K,low,31,2.142903984897183,9
NaCl,temperature,300 K,low,32,2.3975199237766627,9
NaCl,temperature,300 K,low,33,2.423414476359528,9
NaCl,temperature,300 K,low,34,2.39170449699005,9
NaCl,temperature,300 K,low,35,2.260225933139209,9
NaCl,temperature,300 K,low,36,2.4754320548499678,9
NaCl,temperature,300 K,low,37,1.9043775662856064,9
NaCl,temperature,300 K,low,38,2.1983941817750297,9
NaCl,temperature,300 K,low,39,2.9363670604728958,9
NaCl,temperature,300 K,low,40,2.144474246697984,9
NaCl,temperature,300 K,low,41,2.3112849492455685,9
NaCl,temperature,300 K,low,42,2.2206148354926523,9
NaCl,temperature,300 K,low,43,2.3258114143547255,9
NaCl,temperature,300 K,low,44,2.4300346609531087,9
NaCl,temperature,300 K,low,45,2.4438304999213023,9
NaCl,temperature,300 K,low,46,2.319153408795837,9
NaCl,temperature,300 K,low,47,2.797187277816629,9
NaCl,temperature,300 K,low,48,2.5701630741056234,9
